Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
1,Avengers: Endgame,"$2,799,439,100","$858,373,000",30.66%,"$1,941,066,100",69.34,2019
2,Avatar,"$2,743,577,587","$749,766,139",27.33%,"$1,993,811,448",72.67,2009
3,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.29%,"$1,131,561,399",54.71,2015
4,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.14%,"$1,369,544,272",66.86,2018
5,Titanic,"$1,843,373,318","$600,683,057",32.59%,"$1,242,690,261",67.41,1997
6,Jurassic World,"$1,670,400,637","$652,270,625",39.05%,"$1,018,130,012",60.95,2015
7,The Lion King,"$1,656,943,394","$543,638,043",32.81%,"$1,113,305,351",67.19,2019
8,The Avengers,"$1,518,812,988","$623,357,910",41.04%,"$895,455,078",58.96,2012
9,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7,2015
10,Frozen II,"$1,450,026,933","$477,373,578",32.92%,"$972,653,355",67.08,2019
11,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.72%,"$943,800,000",67.28,2015
12,Black Panther,"$1,346,913,161","$700,059,566",51.98%,"$646,853,595",48.02,2018
13,Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",28.4%,"$960,500,000",71.6,2011
14,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.54%,"$712,358,507",53.46,2017
15,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.92%,"$890,748,184",68.08,2018
16,Frozen,"$1,280,802,282","$400,738,009",31.29%,"$880,064,273",68.71,2013
17,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.89%,"$759,506,961",60.11,2017
18,Incredibles 2,"$1,242,805,359","$608,581,744",48.97%,"$634,223,615",51.03,2018
19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.29%,"$1,009,996,733",81.71,2017
20,Iron Man 3,"$1,214,811,252","$409,013,994",33.67%,"$805,797,258",66.33,2013
21,Minions,"$1,159,398,397","$336,045,770",28.98%,"$823,352,627",71.02,2015
22,Captain America: Civil War,"$1,153,296,293","$408,084,349",35.38%,"$745,211,944",64.62,2016
23,Aquaman,"$1,151,961,807","$335,061,807",29.09%,"$816,900,000",70.91,2018
24,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5,2019
25,Captain Marvel,"$1,128,274,794","$426,829,839",37.83%,"$701,444,955",62.17,2019
26,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.36%,"$771,403,536",68.64,2011
27,The Lord of the Rings: The Return of the King,"$1,118,887,224","$377,027,325",33.7%,"$741,859,899",66.3,2003
28,Skyfall,"$1,108,561,013","$304,360,277",27.46%,"$804,200,736",72.54,2012
29,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.23%,"$858,614,996",77.77,2014
30,The Dark Knight Rises,"$1,084,939,099","$448,139,099",41.31%,"$636,800,000",58.69,2012
31,Joker,"$1,078,751,311","$335,451,311",31.1%,"$743,300,000",68.9,2019
32,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",47.96%,"$558,941,706",52.04,2019
33,Toy Story 4,"$1,073,394,593","$434,038,008",40.44%,"$639,356,585",59.56,2019
34,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1,2010
35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3,2006
36,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.39%,"$523,879,949",49.61,2016
37,Aladdin,"$1,050,693,953","$355,559,216",33.84%,"$695,134,737",66.16,2019
38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23.05%,"$804,642,000",76.95,2011
39,Despicable Me 3,"$1,034,799,409","$264,624,300",25.57%,"$770,175,109",74.43,2017
40,Finding Dory,"$1,028,570,889","$486,295,561",47.28%,"$542,275,328",52.72,2016
41,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.59%,"$691,276,000",67.41,2010
42,Zootopia,"$1,023,784,195","$341,268,248",33.33%,"$682,515,947",66.67,2016
43,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.79%,"$714,000,000",70.21,2012
44,The Dark Knight,"$1,003,845,358","$533,345,358",53.13%,"$470,500,000",46.87,2008
45,Jurassic Park,"$978,167,947","$357,067,947",36.5%,"$621,100,000",63.5,1993
46,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550",32.58%,"$657,179,821",67.42,2001
47,Despicable Me 2,"$970,766,005","$368,065,385",37.91%,"$602,700,620",62.09,2013
48,The Jungle Book,"$966,550,600","$364,001,123",37.66%,"$602,549,477",62.34,2016
49,Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42.05%,"$557,562,066",57.95,2017
50,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8,2007
