Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Movie Movie,1978,movie,04 Jan 1979,105,"Comedy, Musical, Sport",Stanley Donen,English,"United States, United Kingdom",N/A,3 wins & 10 nominations,10,3,6.4,N/A,N,N/A,"1,290",N/A,Yes,No,No,Yes
Blue Movie,1978,movie,10 Aug 1978,81,"Horror, Thriller",Alberto Cavallone,Italian,Italy,N/A,N/A,0,0,4.6,N/A,N,N/A,355,N/A,Yes,No,No,No
The Punk Rock Movie from England,1978,movie,09 Jun 1978,86,"Documentary, Music",Don Letts,English,United Kingdom,N/A,N/A,0,0,6.6,N/A,N,N/A,308,N/A,Yes,No,No,No
Gatchaman The Movie,1978,movie,15 Jul 1978,110,"Animation, Action, Adventure",Hisayuki Toriumi,Japanese,Japan,N/A,1 win & 2 nominations,2,1,6.4,N/A,N,N/A,84,N/A,Yes,No,No,No
Father Movie,1978,movie,N/A,7,Short,Gordon Ball,N/A,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Episode 61: &quot;Animal House&quot; (1978) Movie Review,1978,movie,21 Dec 2017,N/A,Talk-Show,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Halloween (1978)/The Royal Tenenbaums (2001) - 34 Movie Buff Specialists (Ep 67),1978,movie,15 Jul 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Still Movie,1978,movie,N/A,3,Short,Yôichi Nagata,N/A,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
D.G. Movie Pioneer,1978,movie,N/A,N/A,Documentary,Kalpana Lajmi,English,India,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
The Muppet Movie,1979,movie,22 Jun 1979,95,"Adventure, Comedy, Family",James Frawley,English,"United Kingdom, United States",N/A,Nominated for 2 Oscars. 4 wins & 11 nominations total,11,4,7.6,89%,74,74,"40,038","$65,810,475",Yes,No,No,Yes
The Bugs Bunny/Road-Runner Movie,1979,movie,28 Sep 1979,98,"Animation, Comedy, Family","Chuck Jones, Phil Monroe, Maurice Noble",English,United States,N/A,1 nomination,1,0,7.3,100%,N,N/A,"4,543",N/A,Yes,No,No,No
The Space Movie,1979,movie,17 Nov 1980,78,Documentary,Tony Palmer,English,United States,N/A,N/A,0,0,7.2,N/A,N,N/A,102,N/A,No,No,No,No
Almost a Movie,1979,movie,05 Mar 1979,48,Crime,Michael J. Murphy,English,United Kingdom,N/A,N/A,0,0,N/A,N/A,N,N/A,54,N/A,No,No,No,No
Track Stars.: The Unseen Heroes of Movie Sound,1979,movie,N/A,8,"Documentary, Short",Terry Burke,English,Canada,N/A,4 nominations,4,0,7.9,N/A,N,N/A,35,N/A,Yes,No,No,No
Ida Makes a Movie,1979,movie,12 Sep 1979,23,"Family, Short","Kit Hood, Linda Schuyler",English,Canada,N/A,N/A,0,0,7.6,N/A,N,N/A,16,N/A,Yes,No,No,No
Shimoochiai Yakitori Movie,1979,movie,23 Jun 1979,86,Comedy,Shinya Yamamoto,Japanese,Japan,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
The Image Maker and the Indians: E. S. Curtis and His 1914 Kwakiutl Movie,1979,movie,04 Sep 1979,16,"Documentary, Short",N/A,English,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,Yes,No,No,No
William Shakespeare: The Movie,1979,movie,N/A,N/A,Short,Sam Raimi,English,United States,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
Cheech and Chong's Next Movie,1980,movie,18 Jul 1980,99,"Comedy, Crime",Tommy Chong,English,United States,N/A,1 nomination,1,0,6.0,N/A,66,66,"15,160","$41,675,194",Yes,No,No,No
The Gong Show Movie,1980,movie,23 May 1980,89,Comedy,Chuck Barris,English,United States,N/A,N/A,0,0,4.4,N/A,N,N/A,943,"$6,621,520",No,No,No,No
The Making of Superman: The Movie,1980,movie,N/A,52,Documentary,Iain Johnstone,English,United Kingdom,N/A,N/A,0,0,7.0,N/A,N,N/A,161,N/A,No,No,No,No
Denshi Sentai Denjiman: The Movie,1980,movie,12 Jul 1980,N/A,"Action, Sci-Fi",N/A,Japanese,Japan,N/A,N/A,0,0,6.4,N/A,N,N/A,53,N/A,Yes,No,No,No
From the Apennines to the Andes: The Movie,1980,movie,19 Jul 1980,107,"Animation, Adventure, Drama",Isao Takahata,Japanese,Japan,N/A,N/A,0,0,7.6,N/A,N,N/A,44,N/A,Yes,No,No,No
Ann-Margret: Hollywood Movie Girls,1980,movie,03 May 1980,90,"Comedy, Music",Dwight Hemion,English,United States,N/A,Nominated for 1 Primetime Emmy. 1 nomination total,1,0,8.1,N/A,N,N/A,22,N/A,Yes,No,No,No
The American Movie Awards,1980,movie,11 Feb 1980,N/A,N/A,N/A,English,USA,N/A,N/A,0,0,5.8,N/A,N,N/A,16,N/A,No,No,No,No
Making Xanadu: The Musical Fantasy Movie,1980,movie,01 Aug 1980,23,"Documentary, Fantasy, Musical",Alan Metter,English,United States,N/A,N/A,0,0,6.6,N/A,N,N/A,15,N/A,Yes,No,No,No
The Funniest Movie,1980,movie,25 Apr 1980,91,N/A,Chun-Liang Chen,Mandarin,"Taiwan, Hong Kong",N/A,N/A,0,0,6.0,N/A,N,N/A,8,N/A,No,No,No,Yes
Class Project: The Garbage Movie,1980,movie,N/A,23,Short,Martin Defalco,N/A,Canada,N/A,N/A,0,0,N/A,N/A,N,N/A,N/A,N/A,No,No,No,No
"The Looney, Looney, Looney Bugs Bunny Movie",1981,movie,20 Nov 1981,79,"Animation, Comedy, Crime",Friz Freleng,English,United States,N/A,N/A,0,0,7.1,N/A,N,N/A,"2,666",N/A,Yes,No,No,No
Great Movie Stunts: Raiders of the Lost Ark,1981,movie,05 Oct 1981,48,"Documentary, Action",Robert Guenette,English,United States,N/A,Nominated for 3 Primetime Emmys. 1 win & 3 nominations total,3,1,8.0,N/A,N,N/A,167,N/A,Yes,No,No,No
Kamen Rider Super-1: The Movie,1981,movie,14 Mar 1981,46,"Action, Adventure, Drama",N/A,Japanese,Japan,N/A,N/A,0,0,5.4,N/A,N,N/A,98,N/A,Yes,No,No,No
Elvira's Movie Macabre: Count Dracula's Great Love,1981,movie,01 Jan 1981,98,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5.6,N/A,N,N/A,42,N/A,No,No,No,No
Elvira's Movie Macabre: The Devil's Wedding Night,1981,movie,01 Jan 1981,99,N/A,N/A,N/A,N/A,N/A,N/A,0,0,6.6,N/A,N,N/A,41,N/A,No,No,No,No
Making a Monster Movie: Inside 'the Howling',1981,movie,26 Aug 2003,8,"Documentary, Short",Mick Garris,English,United States,N/A,N/A,0,0,5.3,N/A,N,N/A,19,N/A,Yes,No,No,No
Superbman: The Other Movie,1981,movie,01 Jan 1981,30,"Short, Comedy",Dave Teubner,English,United States,N/A,N/A,0,0,7.5,N/A,N,N/A,18,N/A,Yes,No,No,No
