"no_of_face","face_con","no_of_hand","pose","phone","phone_con","label"
2,89.27949071,2,"right",1,0.866140246,1
1,97.24322557,0,"forward",1,0.848811209,1
1,83.08486938,1,"forward",1,0.809066176,1
1,88.02418709,1,"forward",1,0.822731078,1
1,94.34410334,0,"forward",1,0.802717865,1
1,96.47610784,0,"forward",1,0.861559272,1
1,94.19787526,1,"forward",1,0.823889077,1
1,92.35388637,0,"forward",1,0.917952776,1
2,91.69840813,2,"forward",1,0.897330225,1
1,92.22706556,0,"forward",1,0.882015705,1
1,92.86763668,0,"forward",1,0.9171018,1
1,80.11915088,0,"forward",1,0.866600454,1
1,95.82626224,0,"forward",1,0.896922588,1
1,92.43869185,0,"forward",1,0.889571309,1
1,96.32844925,0,"forward",1,0.879960299,1
1,95.50595284,0,"forward",1,0.892374396,1
1,90.8228159,0,"forward",1,0.857008636,1
1,96.10422254,0,"forward",1,0.907708645,1
1,95.50831318,0,"forward",1,0.902894199,1
2,91.72697663,2,"forward",1,0.896777391,1
1,92.42065549,1,"forward",1,0.800810635,1
1,91.80704355,0,"forward",1,0.80861491,1
1,92.87219048,0,"forward",1,0.902084529,1
1,96.85508013,0,"forward",1,0.816448212,1
1,80.66439033,1,"forward",1,0.826741815,1
1,96.62141204,0,"forward",1,0.822916448,1
1,90.75798392,0,"forward",1,0.862773061,1
1,95.75660229,0,"forward",1,0.918076336,1
1,95.01626492,0,"forward",1,0.850053132,1
1,96.16175294,0,"forward",1,0.800678432,1
1,95.84950805,0,"forward",1,0.824160039,1
1,90.01592398,0,"forward",1,0.929057419,1
1,87.55114675,0,"forward",1,0.848104417,1
1,91.55622125,0,"forward",1,0.931619048,1
1,90.51603675,0,"forward",1,0.868734658,1
1,90.64677954,0,"forward",1,0.928656101,1
1,96.38648033,0,"forward",1,0.837384045,1
1,86.63368225,1,"forward",1,0.836729527,1
1,95.61340809,0,"forward",1,0.916754484,1
1,94.60923076,0,"forward",1,0.880027413,1
1,93.26915145,0,"forward",1,0.816946089,1
1,86.99376583,1,"forward",1,0.838684738,1
1,94.8040545,0,"forward",1,0.830974042,1
1,95.65957189,0,"forward",1,0.876372516,1
1,94.945544,0,"forward",1,0.916981637,1
1,96.1827457,1,"forward",1,0.866711974,1
1,87.86402941,0,"forward",1,0.85737735,1
1,94.4927156,0,"forward",1,0.898055017,1
1,93.16876531,0,"forward",1,0.876451194,1
1,96.27524018,0,"forward",1,0.916499853,1
1,94.52198744,0,"forward",1,0.884142041,1
1,97.11629152,0,"forward",1,0.831980586,1
1,92.68779755,0,"forward",1,0.921077609,1
1,95.72004676,0,"forward",1,0.87719202,1
1,96.07517719,0,"forward",1,0.857789755,1
1,89.09318447,0,"forward",1,0.84348011,1
1,96.24012709,0,"forward",1,0.889842749,1
1,96.69153094,0,"forward",1,0.841537595,1
1,96.73187137,0,"forward",1,0.882032454,1
1,91.59460068,0,"forward",1,0.925201118,1
1,94.52863336,0,"forward",1,0.892040789,1
1,96.59843445,0,"forward",1,0.831775725,1
1,96.27890587,0,"forward",1,0.873653352,1
1,96.04427814,0,"forward",1,0.869261801,1
1,94.96685266,0,"forward",1,0.896564245,1
1,92.16837883,2,"forward",1,0.860180378,1
1,95.72277665,0,"forward",1,0.838604927,1
1,95.91706395,0,"forward",1,0.824538589,1
1,95.91742754,0,"forward",1,0.826320589,1
1,97.29533195,0,"forward",1,0.834797859,1
1,95.80521584,0,"forward",1,0.809434354,1
1,97.02183604,0,"forward",1,0.833025813,1
1,95.12175918,0,"forward",1,0.832822144,1
1,95.98236084,0,"forward",1,0.810473323,1
1,96.33232355,0,"forward",1,0.845704854,1
1,95.88752389,0,"forward",1,0.80637902,1
1,95.4901576,0,"forward",1,0.860399902,1
1,97.43458033,0,"forward",1,0.830533564,1
1,94.62571144,0,"forward",1,0.88648814,1
1,96.66503072,0,"forward",1,0.904644907,1
1,94.07407641,0,"forward",1,0.886583567,1
1,95.76143622,0,"forward",1,0.843708873,1
1,96.15547061,0,"forward",1,0.835711718,1
1,91.7527914,0,"forward",1,0.805655062,1
1,97.10671306,1,"forward",1,0.893569052,1
1,95.96594572,0,"forward",1,0.860740483,1
1,95.83280683,0,"forward",1,0.815882146,1
1,97.44467735,0,"forward",1,0.874202371,1
1,97.24732637,0,"forward",1,0.875290632,1
1,95.49437761,0,"forward",1,0.913208365,1
1,95.79699039,0,"forward",1,0.843797326,1
1,94.28298473,0,"forward",1,0.88058883,1
1,82.53657222,0,"forward",1,0.858856678,1
1,95.90262175,0,"forward",1,0.831784368,1
1,96.52904868,0,"forward",1,0.864366055,1
1,96.63761854,0,"forward",1,0.903419971,1
1,95.2950716,0,"forward",1,0.879036307,1
1,97.24816084,0,"forward",1,0.836168289,1
1,94.07403469,0,"forward",1,0.878225803,1
1,93.92182231,0,"forward",1,0.923190594,1
1,94.20281649,0,"forward",1,0.921293497,1
1,96.77336812,0,"forward",1,0.875679016,1
1,96.72638178,0,"forward",1,0.83567071,1
1,95.09143829,0,"forward",1,0.832598686,1
1,96.268332,0,"forward",1,0.901095867,1
1,92.44887233,0,"forward",1,0.865232468,1
1,95.87232471,0,"forward",1,0.856063128,1
1,95.04846931,0,"forward",1,0.834298551,1
1,96.87406421,0,"forward",1,0.857637107,1
1,92.22567677,0,"forward",1,0.845773339,1
1,86.00117564,1,"forward",1,0.85580945,1
1,94.74959373,0,"forward",1,0.87474066,1
1,96.70215249,0,"forward",1,0.89253664,1
1,96.33803964,0,"forward",1,0.862028599,1
1,92.99659133,0,"forward",1,0.913149118,1
1,95.86845636,0,"forward",1,0.836877584,1
1,90.33232331,1,"forward",1,0.894339561,1
1,94.83675957,1,"forward",1,0.881850302,1
1,92.70265102,0,"forward",1,0.826697588,1
1,96.04544044,0,"forward",1,0.84292686,1
1,92.06827283,0,"forward",1,0.919159949,1
1,95.9251821,0,"forward",1,0.888698041,1
1,96.34261131,0,"forward",1,0.882297039,1
1,95.03003359,0,"forward",1,0.800646007,1
1,95.56468725,0,"forward",1,0.887446523,1
1,96.67055607,0,"forward",1,0.841003358,1
1,92.96889901,0,"forward",1,0.870680809,1
1,92.39855409,0,"forward",1,0.834096968,1
1,80.57812452,0,"forward",1,0.832397878,1
1,91.64759517,0,"forward",1,0.842627585,1
1,95.89935541,0,"forward",1,0.824374974,1
1,96.03307247,0,"forward",1,0.862920105,1
1,95.47835588,1,"forward",1,0.903982162,1
1,94.71932054,0,"forward",1,0.892777205,1
1,90.84154367,1,"forward",1,0.866599441,1
1,94.75423098,1,"forward",1,0.861444712,1
1,94.10952926,0,"forward",1,0.853696465,1
1,95.32448649,1,"forward",1,0.872180164,1
1,90.2800858,0,"forward",1,0.801444829,1
1,93.35947037,0,"forward",1,0.861927271,1
1,91.81566834,0,"forward",1,0.8633551,1
1,94.87826824,0,"forward",1,0.815082133,1
1,92.30091572,0,"forward",1,0.817082107,1
1,86.65212989,1,"forward",1,0.830675185,1
1,85.87092757,1,"forward",1,0.836250722,1
1,96.54477239,0,"right",1,0.861918747,1
1,83.69080424,1,"down",1,0.819990575,1
1,81.5320611,2,"down",1,0.816396415,1
1,83.78381133,1,"down",1,0.814943492,1
1,83.35788846,1,"down",1,0.804987133,1
1,83.32850933,1,"down",1,0.818268061,1
1,81.16009235,1,"down",1,0.81568855,1
1,86.35402918,1,"down",1,0.860346198,1
1,85.27321815,1,"down",1,0.817807615,1
1,86.87436581,1,"down",1,0.80698657,1
1,87.69189715,1,"down",1,0.824040651,1
1,85.60848832,1,"down",1,0.824538767,1
1,86.98968887,1,"down",1,0.833908796,1
1,86.1194253,1,"down",1,0.820184469,1
1,87.85946369,1,"down",1,0.821436465,1
1,88.24819922,1,"down",1,0.829525232,1
1,87.50876784,1,"down",1,0.825195074,1
1,88.00207973,1,"down",1,0.839405596,1
1,84.968853,1,"down",1,0.851097226,1
1,85.16391516,2,"down",1,0.862640321,1
1,84.80706811,2,"down",1,0.867408991,1
1,83.69278312,1,"down",1,0.865605414,1
1,87.86014318,1,"down",1,0.859706402,1
1,87.24153042,1,"down",1,0.882171512,1
1,88.47969174,0,"down",1,0.871073484,1
1,84.38234925,0,"down",1,0.880567908,1
1,87.18422651,0,"down",1,0.875947118,1
1,90.74918628,0,"down",1,0.855420113,1
1,90.68461657,0,"down",1,0.852330804,1
1,87.56905794,0,"down",1,0.853816271,1
1,91.6863203,0,"down",1,0.836244762,1
1,89.40305114,0,"down",1,0.886498094,1
1,92.7965343,0,"down",1,0.863853872,1
1,85.6861949,0,"down",1,0.875434339,1
1,81.7846179,0,"down",1,0.864064574,1
1,85.70407629,0,"down",1,0.87123692,1
1,85.45127511,0,"down",1,0.883117914,1
1,88.5540545,0,"down",1,0.884947062,1
1,88.78440261,0,"down",1,0.879247785,1
1,84.98237133,0,"down",1,0.884325564,1
1,86.66396141,0,"down",1,0.874126315,1
1,81.95111752,0,"down",1,0.884742737,1
1,82.51904249,0,"down",1,0.874583125,1
1,86.81789637,0,"down",1,0.871975303,1
1,89.03585076,0,"down",1,0.869389236,1
1,88.29907179,0,"down",1,0.818549514,1
1,89.67933059,0,"down",1,0.814676285,1
1,87.85252571,0,"down",1,0.857718885,1
1,87.84712553,1,"forward",1,0.833980441,1
1,95.0530231,2,"forward",1,0.846970856,1
1,87.12505698,1,"forward",1,0.848875165,1
1,94.89651322,1,"forward",1,0.824725449,1
1,88.39772344,1,"forward",1,0.869974792,1
1,96.2480247,0,"forward",1,0.856374502,1
1,94.63379979,1,"forward",1,0.804225743,1
1,93.99034381,0,"forward",1,0.813331783,1
1,96.02758884,0,"forward",1,0.818156898,1
1,94.42871809,1,"forward",1,0.805134058,1
1,95.15004754,1,"forward",1,0.813917994,1
1,95.14813423,1,"forward",1,0.870012462,1
1,92.82340407,0,"forward",1,0.931509912,1
1,95.97318172,0,"forward",1,0.807823539,1
1,82.63130188,1,"down",1,0.806346476,1
1,80.19222021,1,"down",1,0.856749356,1
1,85.33049226,1,"down",1,0.876943827,1
1,95.64567804,1,"forward",1,0.873689413,1
1,92.51671433,0,"forward",1,0.853747487,1
1,94.32298541,0,"forward",1,0.847896039,1
1,82.5316608,1,"forward",1,0.831208229,1
1,92.63898134,0,"right",1,0.905117512,1
